,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Hemline,Occasion,Placket,Sleeve Length,Placket Length
218,Anouk,Men Mustard Yellow &amp; Brown Regular Fit Printed Casual Shirt,Rs. 699,,Regular,Regular Fit,,Ethnic Motifs,,,,,10308217,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
219,Roadster,Men Grey Regular Fit Solid Casual Shirt,Rs. 719,,Regular,Regular Fit,,Solid,,,,,11326172,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
220,max,Men Off-White &amp; Blue Regular Fit Printed Casual Shirt,Rs. 999,,Regular,Regular Fit,,Floral,,,,,12644488,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
221,Calvin Klein Jeans,Men Red &amp; Black Regular Fit Checked Casual Shirt,Rs. 2799,,Regular,Regular Fit,,Gingham Checks,,,,,9591225,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
222,Roadster,Men Grey &amp; Black Regular Fit Geometric Printed Casual Shirt,Rs. 599,,Regular,Regular Fit,,Geometric,,,,,11896216,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
223,Hancock,Men White Slim Fit Solid Formal Shirt,Rs. 664,,Regular,Slim Fit,,Solid,,,,,1830428,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
224,United Colors of Benetton,Men Lavender Slim Fit Solid Casual Shirt,Rs. 919,,Regular,Slim Fit,,Solid,,,,,12529386,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
225,Roadster,Men Navy &amp; White Checked Casual Shirt,Rs. 584,,Regular,Regular Fit,,Tartan Checks,,,,,1667068,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
226,Taavi,Men Multicoloured Block Print Legacy Casual Shirt with Roll-Up Sleeves,Rs. 764,,Regular,Regular Fit,,Floral,,,,,9295491,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
227,HERE&amp;NOW,Men Teal Blue &amp; Cream-Coloured Slim Fit Tropical Printed Casual Shirt,Rs. 559,,Regular,Slim Fit,,Floral,,,,,11302044,,Cuban Collar,Curved,Casual,Button Placket,Short Sleeves,
228,Roadster,Men Navy &amp; White Printed Casual Shirt,Rs. 799,,Regular,Regular Fit,,Conversational,,,,,1725285,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
229,max,Men Blue Regular Fit Checked Casual Shirt,Rs. 899,,Regular,Regular Fit,,Tartan Checks,,,,,12644214,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
230,HIGHLANDER,Men Peach-Coloured Slim Fit Solid Casual Shirt,Rs. 574,,Regular,Slim Fit,,Solid,,,,,2888743,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
231,Calvin Klein Jeans,Men Navy Blue &amp; White Slim Fit Checked Casual Shirt,Rs. 2249,,Regular,Slim Fit,,Tartan Checks,,,,,11371104,,Spread Collar,Curved,Casual,Button Placket,Short Sleeves,
232,Roadster,Men Blue &amp; Beige Regular Fit Checked Casual Shirt,Rs. 809,,Regular,Regular Fit,,Tartan Checks,,,,,11327068,,Spread Collar,Curved,Casual,Button Placket,Long Sleeves,
233,Louis Philippe,Men Navy Blue Slim Fit Solid Formal Shirt,Rs. 999,,Regular,Slim Fit,,Solid,,,,,12390980,,Spread Collar,Curved,Formal,Button Placket,Long Sleeves,
234,HIGHLANDER,Men Blue Slim Fit Solid Casual Shirt,Rs. 999,,Regular,Slim Fit,,Solid,,,,,2454220,,Mandarin Collar,Curved,Casual,Button Placket,Long Sleeves,
235,Tommy Hilfiger,Men White &amp; Blue Regular Fit Checked Casual Shirt,Rs. 2199,,Regular,Regular Fit,,Grid Tattersall Checks,,,,,12370690,,Cutaway Collar,Curved,Casual,Button Placket,Long Sleeves,
