,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Collar,Lining Fabric,Number of Pockets,Sleeve Length,Type,Hemline,Occasion,Features
38,Roadster,Men Olive Green Solid Lightweight Tailored Jacket,Rs. 779,,Regular,,,Solid,Zip,,,,11966854,,Mock Collar,Polyester,,Long Sleeves,Tailored Jacket,,,Lightweight
39,Van Heusen,Men Grey Solid Sporty Jacket,Rs. 2699,,Regular,,,Solid,Zip,,,,10780172,,Mock Collar,Unlined,2,Long Sleeves,Sporty Jacket,,,
40,HERE&amp;NOW,Men Black Checked Bomber Jacket,Rs. 1139,,Regular,,,Checked,Zip,,,,10032777,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
41,HRX by Hrithik Roshan,Men Olive Green Active Solid Bomber Jacket,Rs. 1399,,Regular,,,Solid,Zip,,,,4453324,,Mandarin Collar,Polyester,2,Long Sleeves,Bomber,,,
42,WROGN,Men Olive Green Solid Slim Fit Biker Jacket,Rs. 2364,,Regular,,,Solid,Zip,,,,10187221,,Stand Collar,Polyester,4,Long Sleeves,Biker Jacket,,,
43,Campus Sutra,Men Black Solid Windcheater Bomber,Rs. 1999,,Regular,,,Solid,Zip,,,,12252608,,Hooded,Polyester,,Long Sleeves,Bomber,,,Windcheater
44,Roadster,Men Grey Solid Hooded Padded Jacket,Rs. 1649,,Regular,,,Solid,Zip,,,,7295091,,Hooded,Polyester,2,Long Sleeves,Padded Jacket,,,
45,HERE&amp;NOW,Men Navy Blue Solid Bomber,Rs. 2114,,Regular,,,Solid,Zip,,,,6789004,,Stand Collar,Polyester,3,Long Sleeves,Bomber,,,
46,WROGN,Men Olive Green Camouflage Printed Bomber Jacket,Rs. 2199,,Regular,,,Camouflage,Zip,,,,12422008,,Stand Collar,Polyester,2,Long Sleeves,Bomber,,,
47,Wildcraft,Men Teal Blue Solid Padded Jacket,Rs. 1814,,Regular,,,Solid,Zip,,,,10796002,,Mock Collar,Polyester,2,Long Sleeves,Padded Jacket,,,
