,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Neck,Number of Pockets,Pattern,Sleeve Length,Surface Styling,Type,Occasion,Sustainable,Wash Care
288,FabAlley,Women Yellow &amp; Black Striped Basic Jumpsuit,Rs. 1100,,,,,,Concealed Zip,,,,10339121,Polyester,Shoulder Straps,2,Striped,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
289,Cottinfab,Women Red &amp; White Printed Waist-Tie Up Basic Jumpsuit,Rs. 835,,,,,,Button,,,,12218564,Polyester,Round Neck,2,Printed,Short Sleeves,Waist Tie-Ups,,Casual,,
290,DressBerry,Women Navy Blue &amp; Pink Printed Basic Jumpsuit,Rs. 629,,,,,,Button,,,,11004894,Polyester,Round Neck,2,Printed,Long Sleeves,,Basic Jumpsuit,,,Machine Wash
291,20Dresses,Women Red Solid Basic Jumpsuit,Rs. 1865,,,,,,Concealed Zip,,,,10328825,Polyester,Round Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
292,Uptownie Lite,Women Black Solid Basic Jumpsuit,Rs. 850,,,,,,Zip,,,,11322090,Polyester,Round Neck,,Solid,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
293,Uptownie Lite,Women Navy Blue &amp; White Printed Basic Jumpsuit,Rs. 850,,,,,,Zip,,,,11918252,Polyester,Round Neck,,Printed,Short Sleeves,Ruffles,Basic Jumpsuit,,,Machine Wash
294,Tokyo Talkies,Women Black Solid Flared Basic Jumpsuit,Rs. 869,,,,,,Zip,,,,11970524,Polyester,Halter Neck,,Solid,Sleeveless,,Basic Jumpsuit,,,Machine Wash
295,Cottinfab,Women Mustard Yellow Solid Basic Jumpsuit,Rs. 839,,,,,,Button,,,,10053733,Polyester,Shirt Collar,2,Solid,Three-Quarter Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
296,FabAlley,Women Navy Blue &amp; Maroon Striped Basic Jumpsuit,Rs. 1100,,,,,,Zip,,,,12429946,Polyester,Shoulder Straps,2,Striped,Sleeveless,,Basic Jumpsuit,Casual,,
297,KASSUALLY,Women Black &amp; Beige Printed Jumpsuit,Rs. 1539,,,,,,Button,,,,12742098,Polyester,V-Neck,,Printed,Long Sleeves,,Basic Jumpsuit,Casual,Regular,
298,ATRAENTA,Women Green Solid Basic Jumpsuit,Rs. 809,,,,,,Concealed Zip,,,,11696192,Viscose Rayon,Shirt Collar,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
299,KASSUALLY,Women Red Solid Basic Jumpsuit,Rs. 696,,,,,,Concealed Zip,,,,11334566,Polyester,Round Neck,2,Solid,Sleeveless,Embellished,Basic Jumpsuit,,,
300,STREET 9,Women Beige Solid Cropped Basic Jumpsuit,Rs. 799,,,,,,Concealed Zip,,,,11677830,Cotton,Off-Shoulder,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
301,DressBerry,Women Blue Solid Basic Jumpsuit,Rs. 999,,,,,,Button,,,,11272014,Polyester,V-Neck,2,Solid,Short Sleeves,Gathers,Basic Jumpsuit,,,
302,Aayna,Women Blue Solid Capri Jumpsuit,Rs. 747,,,,,,Button,,,,12433428,Cotton,Round Neck,2,Solid,Short Sleeves,Waist Tie-Ups,,Casual,,
303,Cottinfab,Women Black Jumpsuit,Rs. 719,,,,,,,,,,450224,,Round Neck,,Solid,Sleeveless,,,,,
304,Global Desi,Black Printed Ethnic Jumpsuit,Rs. 734,,,,,,,,,,8791463,Viscose Rayon,V-Neck,2,Printed,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,Machine Wash
305,Vero Moda,White &amp; Black Printed Playsuit,Rs. 664,,,,,,,,,,1839190,Polyester,V-Neck,,Printed,,,,,,Machine Wash
306,FabAlley,Women Maroon Solid Basic Jumpsuit,Rs. 1100,,,,,,,,,,10956970,Polyester,Shoulder Straps,2,Solid,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
307,PURYS,Women Multicoloured Striped Basic Jumpsuit,Rs. 999,,,,,,Concealed Zip,,,,11973524,Polyester,Round Neck,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
308,ONLY,Women Blue &amp; White Checked Basic Jumpsuit,Rs. 3999,,,,,,,,,,11702944,Cotton,Shoulder Straps,,Checked,Sleeveless,,Basic Jumpsuit,,,Machine Wash
309,Jompers,Women White Solid Basic Jumpsuit,Rs. 989,,,,,,Button,,,,11526276,Viscose Rayon,Shirt Collar,2,Solid,Long Sleeves,Waist Tie-Ups,Basic Jumpsuit,,,
310,Ginger by Lifestyle,Women Off-White &amp; Grey Checked Culotte Jumpsuit,Rs. 1444,,,,,,Button,,,,11788316,Cotton,Round Neck,,Checked,Sleeveless,,Culotte Jumpsuit,,,Machine Wash
311,Vero Moda,Women Navy Blue &amp; White Printed Basic Jumpsuit,Rs. 1484,,,,,,Button,,,,11690404,Viscose Rayon,V-Neck,2,Printed,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
312,ATRAENTA,Women Black &amp; White Cold-Shoulder Striped Basic Jumpsuit,Rs. 959,,,,,,Concealed Zip,,,,11334264,Viscose Rayon,Round Neck,2,Striped,Short Sleeves,,Basic Jumpsuit,,,Hand Wash
313,AND,Women Green &amp; White Printed Basic Jumpsuit with Waist Tie-Up Detailing,Rs. 1499,,,,,,Concealed Zip,,,,11284668,Polyester,Round Neck,2,Printed,Sleeveless,Waist Tie-Ups,Basic Jumpsuit,,,
314,FabAlley,Women Green &amp; White Striped Basic Jumpsuit,Rs. 1100,,,,,,,,,,10957104,Polyester,V-Neck,2,Striped,Sleeveless,,Basic Jumpsuit,,,Machine Wash
315,U&amp;F,Women Navy Blue &amp; Beige Striped Basic Jumpsuit,Rs. 611,,,,,,Concealed Zip,,,,11028544,Polyester,Round Neck,2,Striped,Short Sleeves,,Basic Jumpsuit,,,Machine Wash
316,MANGO,Women Grey &amp; Black Self-Checked Cropped Basic Jumpsuit,Rs. 3633,,,,,,Concealed Zip,,,,12523714,Polyester,V-Neck,2,Self Design,Sleeveless,,,Casual,Regular,
317,MAGRE,Women Navy Blue Solid Basic Jumpsuit,Rs. 1395,,,,,,Concealed Zip,,,,11124316,Polyester,Shoulder Straps,2,Solid,Sleeveless,,Basic Jumpsuit,,,Hand Wash
318,Athena,Women Peach-Coloured Solid Two-Piece,Rs. 1959,,,,,,,,,,12775706,Cotton,Round Neck,2,Solid,Long Sleeves,,Two-Piece,Casual,Regular,
319,U&amp;F,Women Green &amp; Grey Floral Printed Basic Jumpsuit,Rs. 593,,,,,,Button,,,,12349220,Polyester,Mandarin Collar,2,Printed,Short Sleeves,Gathers,,Casual,,
