,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
87,HIGHLANDER,Men Black Slim Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 679,Mid-Rise,Regular,Tapered Fit,,,Button and Zip,,,,3855148,Clean Look,Light Fade,Dark,Stretchable,,
88,LOCOMOTIVE,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Slim Fit,,,,,,,7630885,Clean Look,No Fade,Light,Stretchable,With belt loops,
89,Celio,Men Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1499,Mid-Rise,Regular,Straight Fit,,,,,,,8773977,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
90,Calvin Klein Jeans,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 5999,Mid-Rise,Regular,Slim Fit,,,,,,,9591139,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
91,U.S. Polo Assn. Denim Co.,Men Blue Regallo Skinny Fit Mid-Rise Stretchable Jeans,Rs. 2519,Mid-Rise,Regular,Skinny Fit,,,,,,,11446592,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
92,max,Men Black Skinny Fit Mid-Rise Slash Knee Stretchable Jeans,Rs. 1499,Mid-Rise,Regular,Skinny Fit,,,,,,,12671294,Slash Knee,No Fade,Dark,,With belt loops,Cat Scratches
93,HIGHLANDER,Men White Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 759,Mid-Rise,Regular,Tapered Fit,,,,,,,11117228,Clean Look,No Fade,Light,,With belt loops,Cat Scratches
94,Calvin Klein Jeans,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 6499,Mid-Rise,Regular,Slim Fit,,,,,,,7158519,Mildly Distressed,Light Fade,Dark,,With belt loops,Ripped
95,HIGHLANDER,Men Grey Slim Tapered Fit Mid-Rise Clean Look Jeans,Rs. 849,Mid-Rise,Regular,Tapered Fit,,,Button and Zip,,,,3855202,Clean Look,Heavy Fade,Light,Stretchable,,
96,Mast &amp; Harbour,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 849,Mid-Rise,Regular,Skinny Fit,,,,,,,7329808,Clean Look,No Fade,Dark,Stretchable,With belt loops,
97,Celio,Men Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1949,Mid-Rise,Regular,Skinny Fit,,,,,,,11775204,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
98,WROGN,Men Grey Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 2199,Mid-Rise,Regular,Slim Fit,,,,,,,11560192,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
99,Ecko Unltd,Men Maroon Slim Fit Mid-Rise Jeans,Rs. 749,Mid-Rise,Regular,Slim Fit,Super,,,,,,7777131,Clean Look,No Fade,Coloured,,With belt loops,
100,WROGN,Men Grey Jogger Mid-Rise Clean Look Stretchable Jeans,Rs. 1429,Mid-Rise,Regular,Jogger,,,,,,,11359078,Clean Look,Heavy Fade,Light,Stretchable,Elasticated,
101,HIGHLANDER,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 759,Mid-Rise,Regular,Slim Fit,,,,,,,7438761,Mildly Distressed,Heavy Fade,Medium,,With belt loops,Ripped
102,Roadster,Men Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 779,Mid-Rise,Regular,Skinny Fit,,,,,,,11274708,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
103,Nautica,Men Navy Blue Straight Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 3149,Mid-Rise,Regular,Straight Fit,,,,,,,11466494,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
104,Roadster,Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 584,Mid-Rise,Regular,Slim Fit,,,,,,,12303588,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
105,American Crew,Men Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 699,Mid-Rise,Regular,Slim Fit,,,,,,,10495374,Mildly Distressed,Heavy Fade,Medium,,With belt loops,Cat Scratches
106,LOCOMOTIVE,Men Navy Blue Tapered Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 874,Mid-Rise,Regular,Tapered Fit,,,,,,,9655655,Clean Look,Heavy Fade,Medium,Stretchable,With belt loops,
107,Jack &amp; Jones,Men Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1399,Mid-Rise,Regular,Regular Fit,Clark,,,,,,2523260,Clean Look,Light Fade,Dark,,With belt loops,
108,LOCOMOTIVE,Men Maroon Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 857,Mid-Rise,Regular,Slim Fit,,,,,,,7942507,Clean Look,No Fade,Coloured,Stretchable,With belt loops,
109,Levis,Men Grey 513 Slim Straight Fit Mid-Rise Clean Look Jeans,Rs. 3199,Mid-Rise,Regular,Straight Fit,,,,,,,11165792,Clean Look,Light Fade,Light,Stretchable,With belt loops,
110,WROGN,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1099,Mid-Rise,Regular,Slim Fit,,,,,,,8424591,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
111,Roadster,Men Navy Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 599,Mid-Rise,Regular,Slim Fit,,,,,,,12303640,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
112,HIGHLANDER,Men Blue Slim Tapered Fit Clean Look Stretchable Ankle Length Jeans,Rs. 959,Mid-Rise,Regular,Tapered Fit,,,,,,,2174890,Clean Look,Light Fade,Medium,Non Stretchable,With belt loops,
113,WROGN,Men Blue Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1319,Mid-Rise,Regular,Slim Fit,,,,,,,11359162,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
114,LOCOMOTIVE,Men Navy Blue Slim Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 1124,Mid-Rise,Regular,Slim Fit,,,,,,,7630889,Mildly Distressed,Heavy Fade,Medium,,With belt loops,Cat Scratches
115,Jack &amp; Jones,Men Blue Regular Fit Low-Rise Mildly Distressed Jeans,Rs. 1574,Low-Rise,Regular,Regular Fit,,,,,,,2370193,Mildly Distressed,Light Fade,Dark,Non Stretchable,With belt loops,
116,WROGN,Men Black Slim Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1429,Mid-Rise,Regular,Slim Fit,,,,,,,12422240,Clean Look,No Fade,Dark,Stretchable,With belt loops,
117,Campus Sutra,Men Blue Jogger Mid-Rise Clean Look Stretchable Jeans,Rs. 759,Mid-Rise,Cropped,Jogger,,,,,,,8375995,Clean Look,Light Fade,Dark,Stretchable,Elasticated,
118,United Colors of Benetton,Men Blue Carrot Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1259,Mid-Rise,Regular,Regular Fit,Carrot,,,,,,12521950,Clean Look,Light Fade,Light,,With belt loops,
