,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Distress,Fade,Shade,Stretch,Waistband,Type of Distress
106,ONLY,Women Blue Relaxed Fit High-Rise Clean Look Jeans,Rs. 3199,High-Rise,Regular,Relaxed Fit,,,,,,,11492694,Clean Look,Light Fade,Light,Non Stretchable,With belt loops,
107,Marks &amp; Spencer,Women Blue Boyfriend Fit Mid-Rise Mildly Distressed Stretchable Jeans,Rs. 3999,Mid-Rise,Regular,Boyfriend Fit,,,,,,,12378022,Mildly Distressed,Light Fade,Medium,,With belt loops,Ripped
108,Provogue,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Crop Jeans,Rs. 819,Mid-Rise,Cropped,Skinny Fit,,,,,,,12123518,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
109,ether,Women Black Skinny Fit Mid-Rise Slash Knee Stretchable Jeans,Rs. 699,Mid-Rise,Regular,Skinny Fit,,,,,,,2234281,Slash Knee,No Fade,Dark,,With belt loops,Ripped
110,Roadster,Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 509,Mid-Rise,Regular,Skinny Fit,,,,,,,11226184,Clean Look,Heavy Fade,Light,Stretchable,With belt loops,
111,DOROTHY PERKINS,Women Navy Blue Regular Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1163,Mid-Rise,Regular,Regular Fit,,,Button and Zip,,,,12026006,Clean Look,No Fade,Dark,Stretchable,,
112,Vero Moda,Women Blue Bootcut Mid-Rise Low Distress Stretchable Jeans,Rs. 1249,Mid-Rise,Regular,Bootcut,,,,,,,11742284,Clean Look,Light Fade,Light,,With belt loops,Cat Scratches
113,ONLY,Women Blue Carmen Skinny Fit Mid-Rise Stretchable Clean Look Jeans,Rs. 1199,Mid-Rise,Regular,Skinny Fit,,,,,,,11523788,Clean Look,Light Fade,Light,Stretchable,With belt loops,
114,Roadster,Women Grey Skinny Fit Mid-Rise Clean Look Stretchable Jeans with Side Stripe,Rs. 594,Mid-Rise,Regular,Skinny Fit,,,,,,,11118556,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
115,Deal Jeans,Women Blue Slim Fit High-Rise Clean Look Cropped Stretchable Jeans,Rs. 1497,High-Rise,Regular,Slim Fit,,,,,,,2426928,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
116,Purple Feather,Women Navy Blue Skinny Fit High-Rise Clean Look Jeans,Rs. 819,High-Rise,Regular,Skinny Fit,,,,,,,6722276,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
117,GAS,Women Navy Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 5593,Mid-Rise,Regular,Skinny Fit,,,,,,,10002017,Clean Look,No Fade,Dark,Stretchable,With belt loops,
118,Purple Feather,Women Blue Skinny Fit High-Rise Clean Look Jeans,Rs. 759,High-Rise,Cropped,Skinny Fit,,,,,,,11262404,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
119,Roadster,Women Black Skinny Fit High-Rise Clean Look Stretchable Cropped Jeans,Rs. 1043,High-Rise,Cropped,Skinny Fit,,,,,,,7713851,Clean Look,No Fade,Dark,Stretchable,With belt loops,
120,Sztori,Plus Size Women Blue Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 989,Mid-Rise,Regular,Skinny Fit,,,,,,,9656445,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
121,ONLY,Women Black Skinny Fit Mid-Rise Clean Look Stretchable Jeans,Rs. 1035,Mid-Rise,Regular,Skinny Fit,,,,,,,11762226,Clean Look,No Fade,Dark,Stretchable,With belt loops,
122,Vero Moda,Women Black Bootcut Mid-Rise Clean Look Jeans,Rs. 1249,Mid-Rise,Regular,Bootcut,,,,,,,11742256,Clean Look,No Fade,Dark,Stretchable,With belt loops,
123,Deal Jeans,Women Blue Slim Fit Mid-Rise Clean Look Cropped Stretchable Jeans,Rs. 1377,Mid-Rise,Regular,Slim Fit,,,,,,,2426938,Clean Look,Light Fade,Medium,Stretchable,With belt loops,
124,ONLY,Women Blue CARMEN Skinny Fit Mid-Rise Clean Look Jeans,Rs. 1484,Mid-Rise,Regular,Skinny Fit,,,,,,,11523774,Clean Look,Light Fade,Dark,Stretchable,With belt loops,
