,title,name,price,Waist Rise,Length,Fit,Brand Fit Name,Print or Pattern Type,Closure,Type of Pleat,Weave Type,Fly Type,productId,Fabric,Fabric 2,Fabric 3,Main Trend,Multipack Set,Neck,Occasion,Sleeve Length,Sleeve Styling,Surface Styling,Transparency,Type,Fabric Type,Pattern,Collar,Hemline,Placket,Lining,Character,Number of Pockets,Wash Care
28,SASSAFRAS,Women Peach-Coloured Solid Round Neck T-shirt,Rs. 319,,Crop,Regular Fit,,,,,,,9552929,Viscose Rayon,Elastane,,New Basics,Single,Round Neck,Casual,,,,,,,,,,,,,,
29,Roadster,Women Maroon &amp; Navy Blue Slim Fit Checked Casual Shirt,Rs. 454,,Regular,Slim Fit,,Tartan Checks,,,,,2032114,,,,,,,Casual,Long Sleeves,,,,,,,Spread Collar,Curved,Button Placket,,,,
30,Kook N Keech,Women White Printed Crop T-shirt,Rs. 314,,Crop,Regular Fit,,,,,,,1916543,Cotton,Modal,,Conversational Print,Single,Round Neck,Casual,,,,,,,,,,,,,,
31,Antheaa,Women Peach-Coloured Self Design A-Line Top,Rs. 799,,,,,Self Design,,,,,8961399,,,,,,Round Neck,,Three-Quarter Sleeves,Puff Sleeves,Embroidered,Opaque,A-Line,,,,,,Has a lining,,,
32,NEVA,Women Blue Self Design Top,Rs. 629,,Regular,,,Horizontal Stripes,,,,,12839048,,,,,,Round Neck,,Three-Quarter Sleeves,Regular Sleeves,,Opaque,Regular,Cotton,,,,,,,,
33,SASSAFRAS,Women Green  Semi-Sheer Printed Top,Rs. 479,,Regular,,,Floral,,,,,8643085,,,,,,V-Neck,,Short Sleeves,Bell Sleeves,Tie-Ups,Semi Sheer,Regular,,,,,,,,,
34,Everlush,Women Silver-Toned Shimmery Ruffled Fitted Top,Rs. 799,,,,,Shimmer,Button,,,,12646160,,,,,,Round Neck,,Sleeveless,No Sleeves,Ruffles,Opaque,Fitted,,,,,,,,,
35,Ives,Women Olive Green Solid Shirt Style Top,Rs. 549,,,,,Solid,Button,,,,8375271,,,,,,Mandarin Collar,,Three-Quarter Sleeves,Puff Sleeves,Ruffles,Opaque,Shirt Style,,,,,,,,,
36,Mayra,Women Black Printed Blouson Top,Rs. 398,,,,,Geometric,Zip,,,,7256821,,,,,,Round Neck,,Three-Quarter Sleeves,Regular Sleeves,Gathered or Pleated,Opaque,Blouson,,,,,,,,,
37,Roadster,Time Travlr Women Peach &amp; Purple Slim Fit Checked Casual Shirt,Rs. 649,,Regular,Slim Fit,,Buffalo Checks,,,,,1805910,,,,,,,Casual,Long Sleeves,,,,,,,Spread Collar,Curved,Button Placket,,,,
38,OFF LIMITS,Women Pink Solid Round Neck T-shirt,Rs. 359,,Regular,Regular Fit,,,,,,,12759750,Polyester,,,New Basics,Single,Round Neck,Sports,,,,,,,Solid,,,,,,,
39,plusS,Women Sea Green Solid Cinched Waist Top,Rs. 659,,Longline,,,Solid,,,,,2468600,,,,,,Round Neck,,Three-Quarter Sleeves,Regular Sleeves,Waist Tie-Ups,Opaque,Cinched Waist,,,,,,,,,
40,DOROTHY PERKINS,Women White &amp; Pink Petite Smocked Floral Printed Blouson Top,Rs. 1494,,Regular,,,Floral,,,,,12310982,,,,,,V-Neck,,Short Sleeves,Extended Sleeves,Smocking,Opaque,Blouson,,,,,,,,,
41,Carlton London,Women Black Solid Victorian Crop Fitted Top,Rs. 764,,,,,Solid,Button,,,,11679908,,,,,,Sweetheart Neck,,Long Sleeves,Cuffed Sleeves,Gathered or Pleated,Opaque,Fitted,,,,,,,,,
42,Mayra,Women Black Printed Shirt Style Top,Rs. 398,,Regular,,,Animal,Button,,,,7256771,,,,,,Shirt Collar,,Long Sleeves,Regular Sleeves,,Opaque,Shirt Style,,,,,,,,,
43,Roadster,Women Navy Blue &amp; Red Regular Fit Printed Casual Shirt,Rs. 909,,Regular,Regular Fit,,Floral,,,,,10962530,,,,,,,Casual,Long Sleeves,,,,,,,Spread Collar,Curved,Button Placket,,,,
44,DILLINGER,Women Black Solid Round Neck T-shirt,Rs. 479,,Regular,Regular Fit,,,,,,,11067184,Cotton,,,New Basics,Single,Round Neck,Casual,,,,,,,Solid,,,,,,,
45,Kook N Keech,Women Black Printed Round Neck T-shirt,Rs. 244,,Regular,Regular Fit,,,,,,,2115291,Cotton,,,Typography or Slogan Prints,Single,Round Neck,Casual,,,,,,,Printed,,,,,,,
46,DOROTHY PERKINS,Women Beige &amp; Blue Tropical Print A-Line Tiered Top,Rs. 1494,,Regular,,,Tropical,,,,,12311136,,,,,,Shoulder Straps,,Sleeveless,Shoulder Straps,Ruffles,Opaque,A-Line,,,,,,,,,
47,plusS,Women Black Printed Top,Rs. 449,,Regular,,,Polka Dots,,,,,8915439,,,,Geometric Print,,Round Neck,,Long Sleeves,Bell Sleeves,,Opaque,Regular,,,,,,,,,
48,DILLINGER,Women Yellow Boxy Fit Printed Round Neck Longline T-shirt,Rs. 395,,Longline,Boxy,,,,,,,10877160,Cotton,,,Typography or Slogan Prints,Single,Round Neck,Casual,,,,,,,Printed,,,,,,,
49,Cation,Women Black Solid Top,Rs. 1199,,Crop,,,Solid,,,,,8178461,,,,,,Round Neck,,Long Sleeves,Regular Sleeves,,Opaque,Regular,Cotton,,,,,,,,
50,SASSAFRAS,Women Black Solid Top,Rs. 559,,Regular,,,Solid,Concealed Zip,,,,10856206,,,,,,Round Neck,,Long Sleeves,Regular Sleeves,,Opaque,Regular,,,,,,,,,
51,Roadster,Women Rust Red Solid Round Neck Boxy Crop T-Shirt,Rs. 259,,Crop,Regular Fit,,,,,,,11697292,Cotton,,,New Basics,Single,Round Neck,Casual,,,,,,,Solid,,,,,,,
52,Kook N Keech Marvel,Women Pink Printed Oversize Round Neck T-shirt,Rs. 359,,Regular,Slim Fit,,,,,,,2216723,Cotton,,,Graphic Print Others,Single,Round Neck,Casual,,,,,,,,,,,,Captain America,,
53,Veni Vidi Vici,Women White Solid Layered Styled Back Top,Rs. 444,,Crop,,,Solid,,,,,1827118,,,,New Basics,,Shoulder Straps,,,Shoulder Straps,Layered,Opaque,Styled Back,,,,,,,,,
54,DOROTHY PERKINS,Women Red &amp; White Floral Print Bardot Top,Rs. 897,,Regular,,,Floral,,,,,10579900,,,,,,Off-Shoulder,,Short Sleeves,Flared Sleeves,Tie-Ups,Opaque,Bardot,,,,,,,,,
55,Desigual,Women White Printed Scoop Neck T-shirt,Rs. 1476,,Regular,Regular Fit,,,,,,,10957454,Viscose Rayon,,,Geometric Print,Single,Scoop Neck,Casual,,,,,,,Printed,,,,,,,
56,Campus Sutra,Grey T-shirt,Rs. 314,,,Regular Fit,,Solid,,,,,1268540,Cotton,,,New Basics,Single,Round Neck,Casual,,,,,,,Solid,,,,,,,
57,plusS,Women Coral Pink &amp; Black Printed Top,Rs. 424,,,,,Floral,Button,,,,9657057,,,,,,Round Neck,,Long Sleeves,Bell Sleeves,Gathered or Pleated,Opaque,Regular,,,,,,,,,
58,H&amp;M,Women Black Printed T-shirt,Rs. 399,,Regular,Regular Fit,,,,,,,12155126,Cotton,,,Typography or Slogan Prints,Single,Round Neck,Casual,,,,,,,Printed,,,,,,,
59,SASSAFRAS,Women Burgundy Solid Top,Rs. 559,,Regular,,,Solid,Concealed Zip,,,,10856146,,,,,,High Neck,,Long Sleeves,Regular Sleeves,,Opaque,Regular,,,,,,,,,
60,SCORPIUS,Women Pink Solid Top,Rs. 499,,Regular,,,Solid,,,,,8066607,,,,,,Round Neck,,Short Sleeves,Regular Sleeves,,Opaque,Regular,Cotton,,,,,,,,
61,Reebok Classic,Unisex Black &amp; White FS Big Vector Panelled T-Shirt,Rs. 2999,,Regular,Regular Fit,,,Button,,,,11701136,Polyester,,,Graphic Print Others,Single,Round Neck,Sports,,,,,,,,,,,,,,
62,Kazo,Women Peach-Coloured Printed Wrap Top,Rs. 1990,,Crop,,,Floral,,,,,12809776,,,,,,V-Neck,,Sleeveless,No Sleeves,Smocking,Opaque,Wrap,,,,,,,,,
63,Desigual,Women Blue Floral Print Regular Top,Rs. 2303,,Regular,,,Embellished,,,,,11877380,,,,Floral Print,,Round Neck,,Short Sleeves,Regular Sleeves,,Opaque,Regular,,,,,,,,,
64,SASSAFRAS,Women Green &amp; Beige Floral Printed Blouson Top,Rs. 599,,,,,Floral,,,,,11364258,,,,,,Round Neck,,Three-Quarter Sleeves,Puff Sleeves,Gathered or Pleated,Opaque,Blouson,,,,,,Has a lining,,,
65,Rigo,Women Black Solid Top,Rs. 395,,Regular,,,Solid,,,,,9969771,,,,,,Round Neck,,Long Sleeves,Regular Sleeves,,Opaque,Regular,Cotton,,,,,,,,
66,KASSUALLY,Women Black Solid Peplum Top,Rs. 419,,Regular,,,Solid,,,,,12512056,,,,,,Round Neck,,Long Sleeves,Regular Sleeves,,Opaque,Peplum,Scuba,,,,,,,,
67,Label Ritu Kumar,Women Off-White &amp; Beige Ombre Effect Top,Rs. 4500,,,,,Ombre,,,,,12421416,,,,,,Round Neck,,Long Sleeves,Regular Sleeves,Embroidered,Opaque,Regular,,,,,,Has a lining,,,
68,DOROTHY PERKINS,Women Beige &amp; Off-White Self Design Fitted Top,Rs. 2154,,,,,Self Design,Button,,,,12126128,,,,,,High Neck,,Short Sleeves,Flared Sleeves,Gathered or Pleated,Opaque,Fitted,,,,,,,,,
69,Roadster,Women White Solid V-Neck T-shirt With Printed Detail,Rs. 279,,Regular,Regular Fit,,,,,,,11893804,Cotton,,,New Basics,Single,V-Neck,Casual,,,,,,,Solid,,,,,,,
70,Style Quotient,Women Black Polka Dot Print Top,Rs. 591,,Regular,,,Polka Dots,,,,,4325708,,,,,,Boat Neck,,Three-Quarter Sleeves,Bell Sleeves,Tie-Ups,Opaque,Regular,,,,,,,,,
